N version trial wall_s user_s kernel_s cpu_total_s checksum seed
400 seq 1 0.220135 0.220111 0.000000 0.220111 -254182613594 123456789
600 seq 1 0.926733 0.925004 0.000996 0.926000 -1800397093782 123456789
800 seq 1 2.131753 2.117835 0.005994 2.123829 -435162345987 123456789
1000 seq 1 5.173016 5.169682 0.001005 5.170687 -315922447560 123456789
1200 seq 1 9.051470 9.042135 0.005997 9.048132 -457059256810 123456789
1600 seq 1 173.022729 172.435709 0.396152 172.831861 2745627507978 123456789
400 seq 1 1.477337 1.442302 0.017060 1.459362 -254182613594 123456789
600 seq 1 4.483115 4.460160 0.008141 4.468301 -1800397093782 123456789
800 seq 1 11.265359 11.223012 0.031731 11.254743 -435162345987 123456789
1000 seq 1 26.258849 26.172487 0.071914 26.244401 -315922447560 123456789
1200 seq 1 60.485600 56.541883 0.465794 57.007677 -457059256810 123456789
1600 seq 1 166.516498 165.965187 0.368750 166.333937 2745627507978 123456789
400 seq 1 1.227229 1.218265 0.000000 1.218265 -254182613594 123456789
600 seq 1 4.025705 4.003011 0.015714 4.018725 -1800397093782 123456789
800 seq 1 9.987458 9.952090 0.024109 9.976199 -435162345987 123456789
1000 seq 1 24.530448 24.469713 0.047756 24.517469 -315922447560 123456789
1200 seq 1 56.239414 53.391445 0.420189 53.811634 -457059256810 123456789
