N processes trial wall_s checksum seed
400 1 1 0.217685 -254182613594 123456789
400 2 1 0.138873 -254182613594 123456789
400 4 1 0.058430 -254182613594 123456789
400 8 1 0.082465 -254182613594 123456789
600 1 1 0.944621 -1800397093782 123456789
600 2 1 0.533006 -1800397093782 123456789
600 4 1 0.243401 -1800397093782 123456789
600 8 1 0.253718 -1800397093782 123456789
800 1 1 2.117005 -435162345987 123456789
800 2 1 1.356488 -435162345987 123456789
800 4 1 0.640535 -435162345987 123456789
800 8 1 0.657610 -435162345987 123456789
1000 1 1 4.512549 -315922447560 123456789
1000 2 1 3.049733 -315922447560 123456789
1000 4 1 1.557150 -315922447560 123456789
1000 8 1 8.480504 -315922447560 123456789
1200 1 1 42.773694 -457059256810 123456789
1200 2 1 18.458718 -457059256810 123456789
1200 4 1 10.957740 -457059256810 123456789
1200 8 1 17.517071 -457059256810 123456789
1600 1 1 156.459315 2745627507978 123456789
1600 2 1 94.741226 2745627507978 123456789
1600 4 1 73.722145 2745627507978 123456789
1600 8 1 71.747070 2745627507978 123456789
400 1 1 1.029128 -254182613594 123456789
400 2 1 0.498975 -254182613594 123456789
400 4 1 0.211045 -254182613594 123456789
400 8 1 0.277265 -254182613594 123456789
600 1 1 3.966330 -1800397093782 123456789
600 2 1 1.985294 -1800397093782 123456789
600 4 1 0.991958 -1800397093782 123456789
600 8 1 1.227283 -1800397093782 123456789
800 1 1 10.228629 -435162345987 123456789
800 2 1 4.494716 -435162345987 123456789
800 4 1 2.257012 -435162345987 123456789
800 8 1 2.752064 -435162345987 123456789
1000 1 1 20.523461 -315922447560 123456789
1000 2 1 11.009101 -315922447560 123456789
1000 4 1 6.499026 -315922447560 123456789
1000 8 1 8.945079 -315922447560 123456789
1200 1 1 37.482301 -457059256810 123456789
1200 2 1 22.055455 -457059256810 123456789
1200 4 1 13.245349 -457059256810 123456789
1200 8 1 28.975742 -457059256810 123456789
1600 1 1 170.260242 2745627507978 123456789
1600 2 1 90.287138 2745627507978 123456789
1600 4 1 66.244993 2745627507978 123456789
1600 8 1 63.746462 2745627507978 123456789
400 1 1 0.998790 -254182613594 123456789
400 2 1 1.948841 -254182613594 123456789
400 4 1 0.066986 -254182613594 123456789
400 8 1 0.453599 -254182613594 123456789
600 1 1 3.765417 -1800397093782 123456789
600 2 1 1.972205 -1800397093782 123456789
600 4 1 1.005773 -1800397093782 123456789
600 8 1 1.002080 -1800397093782 123456789
800 1 1 9.051715 -435162345987 123456789
800 2 1 4.742646 -435162345987 123456789
800 4 1 4.698602 -435162345987 123456789
800 8 1 5.998897 -435162345987 123456789
1000 1 1 28.531287 -315922447560 123456789
1000 2 1 19.995811 -315922447560 123456789
1000 4 1 10.247294 -315922447560 123456789
1000 8 1 12.251432 -315922447560 123456789
1200 1 1 66.492226 -457059256810 123456789
1200 2 1 22.699141 -457059256810 123456789
1200 4 1 14.243428 -457059256810 123456789
1200 8 1 20.247121 -457059256810 123456789
1600 1 1 173.766157 2745627507978 123456789
1600 2 1 86.742411 2745627507978 123456789
1600 4 1 45.205265 2745627507978 123456789
1600 8 1 59.244251 2745627507978 123456789
400 1 1 1.007524 -254182613594 123456789
400 2 1 1.953802 -254182613594 123456789
400 4 1 0.257464 -254182613594 123456789
400 8 1 0.262700 -254182613594 123456789
600 1 1 3.757612 -1800397093782 123456789
600 2 1 1.973852 -1800397093782 123456789
600 4 1 1.228891 -1800397093782 123456789
600 8 1 1.226736 -1800397093782 123456789
800 1 1 9.000157 -435162345987 123456789
800 2 1 4.482852 -435162345987 123456789
800 4 1 4.496450 -435162345987 123456789
800 8 1 5.254458 -435162345987 123456789
1000 1 1 43.973763 -315922447560 123456789
1000 2 1 16.982087 -315922447560 123456789
1000 4 1 11.247662 -315922447560 123456789
1000 8 1 12.236914 -315922447560 123456789
1200 1 1 44.990563 -457059256810 123456789
1200 2 1 18.502953 -457059256810 123456789
1200 4 1 11.514907 -457059256810 123456789
1200 8 1 23.252447 -457059256810 123456789
1600 1 1 193.486293 2745627507978 123456789
1600 2 1 90.489785 2745627507978 123456789
1600 4 1 48.743443 2745627507978 123456789
1600 8 1 62.487369 2745627507978 123456789
