N version trial wall_s user_s kernel_s cpu_total_s checksum seed
400 seq 1 0.219632 0.219570 0.000001 0.219571 -254182613594 123456789
600 seq 1 0.920877 0.917910 0.000000 0.917910 -1800397093782 123456789
800 seq 1 2.136676 2.135055 0.001002 2.136057 -435162345987 123456789
1000 seq 1 5.050070 5.040803 0.003999 5.044802 -315922447560 123456789
1200 seq 1 8.827729 8.814146 0.012001 8.826147 -457059256810 123456789
1600 seq 1 171.975831 171.227358 0.413767 171.641125 2745627507978 123456789
2000 seq 1 412.737997 411.248526 0.916677 412.165203 -2414817546036 123456789
400 seq 1 0.982860 0.980909 0.000605 0.981514 -254182613594 123456789
600 seq 1 3.747478 3.735115 0.008040 3.743155 -1800397093782 123456789
800 seq 1 11.002904 10.964491 0.019923 10.984414 -435162345987 123456789
1000 seq 1 24.262344 24.194244 0.063736 24.257980 -315922447560 123456789
1200 seq 1 67.735739 63.642130 0.558623 64.200753 -457059256810 123456789
1600 seq 1 167.016193 166.536333 0.391990 166.928323 2745627507978 123456789
2000 seq 1 455.219852 449.568214 1.526514 451.094728 -2414817546036 123456789
400 seq 1 1.204885 1.201563 0.001934 1.203497 -254182613594 123456789
600 seq 1 3.759999 3.747523 0.011866 3.759389 -1800397093782 123456789
800 seq 1 9.243647 9.217700 0.020090 9.237790 -435162345987 123456789
1000 seq 1 23.762414 23.726063 0.031929 23.757992 -315922447560 123456789
1200 seq 1 46.003653 45.866473 0.099935 45.966408 -457059256810 123456789
1600 seq 1 212.506634 207.637214 1.038986 208.676200 2745627507978 123456789
2000 seq 1 441.736621 435.873073 1.365336 437.238409 -2414817546036 123456789
400 seq 1 0.794254 0.794174 0.000000 0.794174 -254182613594 123456789
600 seq 1 4.728557 4.713406 0.012336 4.725742 -1800397093782 123456789
800 seq 1 10.979043 10.944415 0.028216 10.972631 -435162345987 123456789
1000 seq 1 23.705870 23.631527 0.056722 23.688249 -315922447560 123456789
1200 seq 1 48.006340 47.747571 0.188412 47.935983 -457059256810 123456789
1600 seq 1 176.987925 176.443465 0.399180 176.842645 2745627507978 123456789
2000 seq 1 433.506016 431.232707 1.328350 432.561057 -2414817546036 123456789
400 seq 1 1.217845 1.211500 0.000329 1.211829 -254182613594 123456789
600 seq 1 4.275310 4.258773 0.015685 4.274458 -1800397093782 123456789
800 seq 1 10.529789 10.494831 0.027408 10.522239 -435162345987 123456789
1000 seq 1 34.764526 34.508730 0.146840 34.655570 -315922447560 123456789
1200 seq 1 48.501682 48.335155 0.127740 48.462895 -457059256810 123456789
1600 seq 1 177.510150 176.620569 0.495958 177.116527 2745627507978 123456789
2000 seq 1 454.708702 448.789915 1.536652 450.326567 -2414817546036 123456789
